date,commodity,indicator,indicator_name,location,contract_month,column_name,value,value_raw,unit,measure,currency,unit_std,price_basis,contract,state,market_type
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Crespa / Eng - 18 Un,,preco,28.7,"28,70",%,price,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Crespa / Eng - 18 Un,,variacao_pct,2.54,"+2,54",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Crespa Extra / 18-24 UN,,preco,3.5,"3,50",%,price,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Crespa Extra / 18-24 UN,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Crespa Primeira / Dz,,preco,38.0,"38,00",%,price,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Crespa Primeira / Dz,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Lisa / Eng - 18 Un,,preco,30.52,"30,52",%,price,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Lisa / Eng - 18 Un,,variacao_pct,1.87,"+1,87",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Lisa Extra / 18-24 UN,,preco,3.0,"3,00",%,price,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Lisa Extra / 18-24 UN,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Lisa Primeira / Dz,,preco,38.0,"38,00",%,price,,pct,spot,,,physical
2026-01-27,verduras,alface-ceasas,Alface - Ceasas,Lisa Primeira / Dz,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,brocolos-ceasas,Brócolis - Ceasas,Brocolos Ramoso/ Eng - 12 maços,,preco,138.94,"138,94",%,price,,pct,spot,,,physical
2026-01-27,verduras,brocolos-ceasas,Brócolis - Ceasas,Brocolos Ramoso/ Eng - 12 maços,,variacao_pct,-7.47,"-7,47",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,brocolos-ceasas,Brócolis - Ceasas,Mineiro / Dz c/ 10 kg,,preco,48.0,"48,00",%,price,,pct,spot,,,physical
2026-01-27,verduras,brocolos-ceasas,Brócolis - Ceasas,Mineiro / Dz c/ 10 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,brocolos-ceasas,Brócolis - Ceasas,Ninja Tipo A / Kg,,preco,7.14,"7,14",%,price,,pct,spot,,,physical
2026-01-27,verduras,brocolos-ceasas,Brócolis - Ceasas,Ninja Tipo A / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,couve-ceasas,Couve - Ceasas,Couve Manteiga / Kg,,preco,6.25,"6,25",%,price,,pct,spot,,,physical
2026-01-27,verduras,couve-ceasas,Couve - Ceasas,Couve Manteiga / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,couve-ceasas,Couve - Ceasas,Manteiga A / Eng - 24 maços,,preco,30.69,"30,69",%,price,,pct,spot,,,physical
2026-01-27,verduras,couve-ceasas,Couve - Ceasas,Manteiga A / Eng - 24 maços,,variacao_pct,-6.72,"-6,72",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,couve-ceasas,Couve - Ceasas,"Primeira / Dz c/ 1,70 kg",,preco,28.0,"28,00",%,price,,pct,spot,,,physical
2026-01-27,verduras,couve-ceasas,Couve - Ceasas,"Primeira / Dz c/ 1,70 kg",,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Liso /Eng - 12/14 Cabeças,,preco,25.96,"25,96",%,price,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Liso /Eng - 12/14 Cabeças,,variacao_pct,3.59,"+3,59",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Roxo / Kg,,preco,2.5,"2,50",%,price,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Roxo / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Roxo /Eng - 12/14 Cabeças,,preco,34.86,"34,86",%,price,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Roxo /Eng - 12/14 Cabeças,,variacao_pct,-8.19,"-8,19",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Roxo Primeira /Kg,,preco,1.0,"1,00",%,price,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Roxo Primeira /Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Verde Extra / Kg,,preco,1.75,"1,75",%,price,,pct,spot,,,physical
2026-01-27,verduras,repolho-ceasas,Repolho - Ceasas,Verde Extra / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Crespa / Eng - 18 Un,,preco,28.7,"28,70",%,price,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Crespa / Eng - 18 Un,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Crespa Extra / 18-24 UN,,preco,3.5,"3,50",%,price,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Crespa Extra / 18-24 UN,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Crespa Primeira / Dz,,preco,38.0,"38,00",%,price,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Crespa Primeira / Dz,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Lisa / Eng - 18 Un,,preco,30.52,"30,52",%,price,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Lisa / Eng - 18 Un,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Lisa Extra / 18-24 UN,,preco,3.0,"3,00",%,price,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Lisa Extra / 18-24 UN,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Lisa Primeira / Dz,,preco,38.0,"38,00",%,price,,pct,spot,,,physical
2026-01-28,verduras,alface-ceasas,Alface - Ceasas,Lisa Primeira / Dz,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,brocolos-ceasas,Brócolis - Ceasas,Brocolos Ramoso/ Eng - 12 maços,,preco,138.94,"138,94",%,price,,pct,spot,,,physical
2026-01-28,verduras,brocolos-ceasas,Brócolis - Ceasas,Brocolos Ramoso/ Eng - 12 maços,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,brocolos-ceasas,Brócolis - Ceasas,Mineiro / Dz c/ 10 kg,,preco,48.0,"48,00",%,price,,pct,spot,,,physical
2026-01-28,verduras,brocolos-ceasas,Brócolis - Ceasas,Mineiro / Dz c/ 10 kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,brocolos-ceasas,Brócolis - Ceasas,Ninja Tipo A / Kg,,preco,7.14,"7,14",%,price,,pct,spot,,,physical
2026-01-28,verduras,brocolos-ceasas,Brócolis - Ceasas,Ninja Tipo A / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,couve-ceasas,Couve - Ceasas,Couve Manteiga / Kg,,preco,6.25,"6,25",%,price,,pct,spot,,,physical
2026-01-28,verduras,couve-ceasas,Couve - Ceasas,Couve Manteiga / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,couve-ceasas,Couve - Ceasas,Manteiga A / Eng - 24 maços,,preco,30.69,"30,69",%,price,,pct,spot,,,physical
2026-01-28,verduras,couve-ceasas,Couve - Ceasas,Manteiga A / Eng - 24 maços,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,couve-ceasas,Couve - Ceasas,"Primeira / Dz c/ 1,70 kg",,preco,28.0,"28,00",%,price,,pct,spot,,,physical
2026-01-28,verduras,couve-ceasas,Couve - Ceasas,"Primeira / Dz c/ 1,70 kg",,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,repolho-ceasas,Repolho - Ceasas,Liso /Eng - 12/14 Cabeças,,preco,25.96,"25,96",%,price,,pct,spot,,,physical
2026-01-28,verduras,repolho-ceasas,Repolho - Ceasas,Liso /Eng - 12/14 Cabeças,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,repolho-ceasas,Repolho - Ceasas,Roxo / Kg,,preco,2.5,"2,50",%,price,,pct,spot,,,physical
2026-01-28,verduras,repolho-ceasas,Repolho - Ceasas,Roxo / Kg,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
2026-01-28,verduras,repolho-ceasas,Repolho - Ceasas,Roxo /Eng - 12/14 Cabeças,,preco,34.86,"34,86",%,price,,pct,spot,,,physical
2026-01-28,verduras,repolho-ceasas,Repolho - Ceasas,Roxo /Eng - 12/14 Cabeças,,variacao_pct,0.0,"0,00",%,change_pct,,pct,spot,,,physical
